Event,Date,Heat,Type,Meters,raceid,eventid,Finishers
מרוץ מודיעין ה-12,09/12/2016,"10 ק""מ ריצה תחרותית",10K,10000,21566,6863,639
מרוץ מודיעין ה-12,09/12/2016,"5 ק""מ ריצה תחרותית",5K,5000,21567,6863,815
מרוץ מודיעין ה-12,09/12/2016,1.8 ריצה תחרותית,,1800,21568,6863,680
חצי מרתון השרון 2016,09/12/2016,חצי מרתון,H.Marathon,21097,21570,6864,261
מרוץ עמיצור 2016,06/12/2016,"5 ק""מ ריצה תחרותית",5K,5000,21563,6861,305
חצי מרתון עמק המעיינות,02/12/2016,"6 ק""מ",,6000,21532,6856,106
חצי מרתון עמק המעיינות,02/12/2016,חצי מרתון,H.Marathon,21097,21530,6856,2287
מרוץ דגניה ב,26/11/2016,"5 ק""מ",5K,5000,21517,6850,67
מרוץ דגניה ב,26/11/2016,"10 ק""מ",10K,10000,21516,6850,16
מרוץ השלום לזכרו של יצחק רבין 2016,23/11/2016,"3.5 ק""מ",,3500,21515,7475,126
מרוץ מעגן מיכאל,19/11/2016,"2 ק""מ",2K,2000,21508,6844,289
מרוץ מעגן מיכאל,19/11/2016,"10 ק""מ",10K,10000,21505,6844,44
מרוץ מעגן מיכאל,19/11/2016,"5 ק""מ ריצה",5K,5000,21506,6844,74
מרוץ מעגן מיכאל,19/11/2016,"5 ק""מ הליכה",5K,5000,21507,6844,18
"המרתון המדברי, אילת 2016",18/11/2016,מרתון,Marathon,42195,21501,6843,353
"המרתון המדברי, אילת 2016",18/11/2016,חצי מרתון,H.Marathon,21097,21502,6843,524
"המרתון המדברי, אילת 2016",18/11/2016,"10 ק""מ",10K,10000,21503,6843,314
"המרתון המדברי, אילת 2016",18/11/2016,"5 ק""מ",5K,5000,21504,6843,128
מרוץ הלילה של תל-אביב,16/11/2016,"10 ק""מ",10K,10000,21499,6841,17107
מרוץ משגב 2016,12/11/2016,10k,10K,10000,25583,6812,122
מרוץ אייל 2016,12/11/2016,"15 ק""מ",15K,15000,21328,6811,2942
מרוץ אייל 2016,12/11/2016,"5 ק""מ",5K,5000,21329,6811,658
מרוץ משגב 2016,12/11/2016,2k,2K,2000,25581,6812,70
מרוץ אייל 2016,12/11/2016,"2 ק""מ",2K,2000,21330,6811,568
מרוץ משגב 2016,12/11/2016,5k,5K,5000,25582,6812,87
מרוץ ספארי רמת-גן,11/11/2016,"ריצה 10 ק""מ",,10000,21326,6810,333
מרוץ ספארי רמת-גן,11/11/2016,"ריצה 5 ק""מ",,5000,21327,6810,331
אליפות בתי הספר באופקים 2016,08/11/2016,"5 ק""מ",5K,5000,21323,6809,16
אליפות בתי הספר באופקים 2016,08/11/2016,"2 ק""מ",2K,2000,21325,6809,30
מרוץ סאקוני בת חפר ה-18,04/11/2016,"1.5 ק""מ ריצה תחרותית",,1500,21312,7477,132
מרוץ דקל הטום 2016,04/11/2016,"הליכה 10 ק""מ",10K,10000,21307,6801,12
מרוץ כוכב יאיר צור יגאל 2016,04/11/2016,"5 ק""מ",,5000,21315,6803,148
חצי מרתון חיפה ה-19,04/11/2016,חצי מרתון,H.Marathon,21097,21302,6800,508
מרוץ אינטל 2016,04/11/2016,"10 ק""מ ריצה תחרותית",10K,10000,21313,7476,58
חצי מרתון חיפה ה-19,04/11/2016,"10 ק""מ",,10000,21303,6800,988
מרוץ אינטל 2016,04/11/2016,"5 ק""מ ריצה תחרותית",5K,5000,21314,7476,38
חצי מרתון חיפה ה-19,04/11/2016,"5 ק""מ",,5000,21304,6800,646
מרוץ סאקוני בת חפר ה-18,04/11/2016,"12 ק""מ ריצה תחרותית",,12000,21310,7477,47
מרוץ דקל הטום 2016,04/11/2016,9.3 קמ ריצה,,9300,21305,6801,310
מרוץ סאקוני בת חפר ה-18,04/11/2016,"5 ק""מ ריצה תחרותית",5K,5000,21311,7477,97
מרוץ כוכב יאיר צור יגאל 2016,04/11/2016,"10 ק""מ",,10000,21309,6803,115
מרוץ הנשים בהרצליה 2016,03/11/2016,"5 ק""מ ריצה תחרותית",5K,5000,21298,6798,248
ספורטיאדה ריצה ואופניים יום I,02/11/2016,"ריצה 5 ק""מ",5K,5000,21316,6806,178
מרוץ אשדוד אליפות ישראל,01/11/2016,"ריצה 10 ק""מ",10K,10000,21292,6795,322
מרוץ אשדוד אליפות ישראל,01/11/2016,"ריצה 5 ק""מ",5K,5000,21293,6795,359
מרוץ BIG קרית שמונה 2016,28/10/2016,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,21276,6790,37
מרוץ BIG קרית שמונה 2016,28/10/2016,"10 ק""מ ריצה תחרותית",10K,10000,21277,6790,139
מרוץ קניון ארנה נהריה,28/10/2016,"10 ק""מ",10K,10000,21275,6789,94
מרוץ BIG קרית שמונה 2016,28/10/2016,"3 ק""מ ריצה תחרותית",,3000,21278,6790,143
מרוץ לחיים ה-3 לזכרו של חיים טורג'מן,27/10/2016,"2 ק""מ ריצה תחרותית",2K,2000,21297,6797,23
מרוץ נהריה 2016,21/10/2016,"3 ק""מ",,3000,21058,6619,119
מרוץ נהריה 2016,21/10/2016,"5 ק""מ",5K,5000,21059,6619,254
מרוץ נהריה 2016,21/10/2016,"10 ק""מ",10K,10000,21060,6619,317
"מרתון התנ""ך 2016",21/10/2016,21k,,21000,21066,6621,180
מרוץ נחל שורק 2016,21/10/2016,"10 ק""מ ריצה תחרותית",10K,10000,21062,6620,235
מרוץ הסמטה 2016,21/10/2016,5k,5K,5000,25579,6622,112
"מרתון התנ""ך 2016",21/10/2016,10k,10K,10000,21067,6621,182
מרוץ נחל שורק 2016,21/10/2016,"5 ק""מ ריצה תחרותית",5K,5000,21063,6620,250
מרוץ הסמטה 2016,21/10/2016,10k,10K,10000,25580,6622,90
"מרתון התנ""ך 2016",21/10/2016,5k,5K,5000,21068,6621,312
מרוץ נחל שורק 2016,21/10/2016,"2 ק""מ ריצה תחרותית",2K,2000,21064,6620,167
מרוץ המעפיל 2016,17/10/2016,"10 ק""מ",10K,10000,21048,6617,9
מרוץ המעפיל 2016,17/10/2016,"5 ק""מ",5K,5000,21049,6617,45
מרוץ המעפיל 2016,17/10/2016,"2 ק""מ",2K,2000,21050,6617,114
מרוץ לילה חוף חפר 2016,15/10/2016,"4.3 ק""מ",,4300,21046,6616,113
מרוץ לילה חוף חפר 2016,15/10/2016,2300 מטר,,2300,21047,6616,206
מרוץ בית יצחק,14/10/2016,"2 ק""מ",2K,2000,21034,6611,89
מרוץ בית יצחק,14/10/2016,"5 ק""מ",5K,5000,21035,6611,143
מרוץ בית יצחק,14/10/2016,"10 ק""מ",10K,10000,21036,6611,113
"מרוץ גליל ים ה-33 ע""ש זיו גרוך",08/10/2016,"5 ק""מ ריצה תחרותית",5K,5000,21015,6602,153
"מרוץ גליל ים ה-33 ע""ש זיו גרוך",08/10/2016,"2 ק""מ ריצה תחרותית",2K,2000,21016,6602,104
"מרוץ גליל ים ה-33 ע""ש זיו גרוך",08/10/2016,"10 ק""מ ריצה תחרותית",10K,10000,21014,6602,113
חצי מרתון אשכול גליל מערבי,07/10/2016,"5 ק""מ",5K,5000,21001,6599,156
מרוץ חבר,07/10/2016,"15ק""מ",,15000,21002,6600,826
מרוץ חבר,07/10/2016,"10ק""מ",,10000,21003,6600,1258
מרוץ חבר,07/10/2016,"5 ק""מ",5K,5000,21004,6600,1005
חצי מרתון אשכול גליל מערבי,07/10/2016,חצי מרתון,H.Marathon,21097,20999,6599,196
חצי מרתון אשכול גליל מערבי,07/10/2016,"10 ק""מ",10K,10000,21000,6599,228
מרוץ כפר ורדים 2016,30/09/2016,"2 ק""מ ריצה תחרותית",2K,2000,20984,6594,69
חיפה אולטרה טרייל,29/09/2016,"10 ק""מ NIGHT RUN",10K,10000,20966,6588,319
"מרוץ תנ""ח תש""ח",28/09/2016,50k,,50000,20977,6591,91
מרוץ גיא,24/09/2016,10 קילומטר,,10000,20944,6580,194
מרוץ גיא,24/09/2016,5 קילומטר,,5000,20945,6580,230
מרוץ גיא,24/09/2016,3 קילומטר,,3000,20946,6580,157
בשביל הבנים הדרוזים,23/09/2016,"15 ק""מ",15K,15000,20923,6577,340
בשביל הבנים הדרוזים,23/09/2016,"10 ק""מ",10K,10000,24092,6577,853
בשביל הבנים הדרוזים,23/09/2016,"5 ק""מ",5K,5000,24093,6577,630
מרוץ גבעתיים,23/09/2016,"10 ק""מ",10K,10000,20926,6578,459
מרוץ גבעתיים,23/09/2016,"5 ק""מ",5K,5000,20927,6578,597
"מרוץ הר איתן , לזכר אלי פיפמן ז""ל",16/09/2016,"8 ק""מ",,8000,20911,6569,119
מרוץ חרמש-דותן ה-3,15/09/2016,"10 ק""מ ריצה תחרותית",10K,10000,20912,6570,32
מרוץ חרמש-דותן ה-3,15/09/2016,"5 ק""מ ריצה תחרותית",5K,5000,20913,6570,19
מרוץ פתיחת ליגת רצים בעבודה 2016,09/09/2016,"5 ק""מ ריצה תחרותית",5K,5000,20894,6565,460
מרוץ גלעד ה-12 ברעננה,03/09/2016,"5 ק""מ ריצה תחרותית",5K,5000,20893,6564,315
GUSH NIGHT   מרוץ הלילה של גוש עציון,30/08/2016,"5 ק""מ",5K,5000,20892,6563,73
GUSH NIGHT   מרוץ הלילה של גוש עציון,30/08/2016,"10 ק""מ",10K,10000,20891,6563,37
חצי מרתון פארק הירקון ה-10,26/08/2016,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,20885,6561,305
חצי מרתון פארק הירקון ה-10,26/08/2016,"10 ק""מ ריצה תחרותית",10K,10000,20886,6561,125
חצי מרתון פארק הירקון ה-10,26/08/2016,"5 ק""מ ריצה תחרותית",5K,5000,20887,6561,25
מרוץ הקיץ - מישהו לרוץ איתו,29/07/2016,"10.1 ק""מ",,10100,20865,6542,62
מרוץ הקיץ - מישהו לרוץ איתו,29/07/2016,"5.5 ק""מ",,5500,20864,6542,29
מרוץ מדבר,21/07/2016,10 קילומטר,10K,10000,20845,6535,491
מרוץ מדבר,21/07/2016,21 קילומטר,H.Marathon,21097,20846,6535,235
מרוץ מעלה אדומים ה-2,21/07/2016,"10 ק""מ ריצה תחרותית",10K,10000,20841,6534,102
מרוץ מעלה אדומים ה-2,21/07/2016,"5 ק""מ ריצה תחרותית",5K,5000,20842,6534,165
מרוץ מעלה אדומים ה-2,21/07/2016,"2.5 ק""מ ריצה",,2500,20843,6534,116
מרוץ מדבר,21/07/2016,5 קילומטר,5K,5000,20844,6535,169
מרוץ JUMP בשער בנימין 2016,05/07/2016,"5 ק""מ ריצה תחרותית",5K,5000,20837,6532,37
מרוץ JUMP בשער בנימין 2016,05/07/2016,"2 ק""מ ריצה תחרותית",2K,2000,20838,6532,76
ערד מצדה לזריחה,01/07/2016,18k,,18000,20783,6522,786
ערד מצדה לזריחה,01/07/2016,11k,,12,20782,6522,355
מרוץ נחל,23/06/2016,5 קילומטר,5K,5000,20759,6515,513
מרוץ נחל,23/06/2016,10 קילומטר,10K,10000,20760,6515,731
מרוץ נחל,23/06/2016,21.1 קילומטר,H.Marathon,21097,20761,6515,433
"מרוץ שחר ה -II , באלוני הבשן",17/06/2016,"15 ק""מ",15K,15000,19400,6320,52
"מרוץ שחר ה -II , באלוני הבשן",17/06/2016,"10 ק""מ",10K,10000,19401,6320,94
מרוץ הילדים אלתרמנס 2016,15/06/2016,"1 ק""מ ריצה תחרותית",,1000,19397,6319,80
מרוץ הילדים אלתרמנס 2016,15/06/2016,"2 ק""מ ריצה תחרותית",2K,2000,19398,6319,82
מרוץ סיום עונת 2015-2016 ליגת רצים בעבודה,10/06/2016,"5 ק""מ ריצה תחרותית",5K,5000,19329,6306,294
Matrix Night Run,09/06/2016,"10 ק""מ ריצה תחרותית",10K,10000,19330,6307,290
Matrix Night Run,09/06/2016,"5 ק""מ ריצה תחרותית",5K,5000,19331,6307,159
מרוץ אבנר ארד ה-2,04/06/2016,"8 ק""מ",,8000,19199,6292,151
טריאתהוד השרון 2016,04/06/2016,שלשות 10-11,10K,10000,19212,6293,6
מרוץ אבנר ארד ה-2,04/06/2016,"2 ק""מ",2K,2000,19200,6292,81
מרוץ גבעת ברנר,03/06/2016,"10 ק""מ",10K,10000,19196,6290,163
מרוץ גבעת ברנר,03/06/2016,"5 ק""מ",5K,5000,19197,6290,93
מרוץ וצעדת MS ישראל,03/06/2016,"10 ק""מ ריצה תחרותית",10K,10000,19198,6291,340
מרוץ הלילה ה-7 בקרית גת,02/06/2016,"10 ק""מ ריצה תחרותית",10K,10000,19194,6289,274
מרוץ הלילה ה-7 בקרית גת,02/06/2016,"5 ק""מ ריצה תחרותית",5K,5000,19195,6289,250
מרוץ בית אריה,27/05/2016,5k מקוצר,,5000,18015,6126,81
מרוץ התבור ה-64,27/05/2016,11 קילומטר,,11000,18016,6127,284
מרוץ התבור ה-64,27/05/2016,5 קילומטר,,5000,18017,6127,53
מרוץ אלקנה ה-1,27/05/2016,"10 ק""מ ריצה תחרותית",10K,10000,17994,6122,57
מרוץ התבור ה-64,27/05/2016,2 קילומטר,,2000,18018,6127,37
מרוץ אלקנה ה-1,27/05/2016,"5 ק""מ ריצה תחרותית",5K,5000,17995,6122,133
מרוץ בית אריה,27/05/2016,15k,,15000,18013,6126,50
מרוץ בית אריה,27/05/2016,10k,,10000,18014,6126,53
מרוץ טלמונים ה-9,26/05/2016,"10 ק""מ ריצה תחרותית",10K,10000,17991,6121,106
מרוץ חבל יבנה,26/05/2016,"5 ק""מ נשים",,5000,20702,6124,1
מרוץ חבל יבנה,26/05/2016,"10 ק""מ",10K,10000,17998,6124,20
מרוץ טלמונים ה-9,26/05/2016,"5 ק""מ ריצה תחרותית",5K,5000,17992,6121,203
מרוץ חבל יבנה,26/05/2016,"2 ק""מ כביש גברים",,2000,20703,6124,1
מרוץ חבל יבנה,26/05/2016,"5 ק""מ",5K,5000,17999,6124,50
מרוץ טלמונים ה-9,26/05/2016,"2 ק""מ ריצה תחרותית",2K,2000,17993,6121,99
מרוץ חבל יבנה,26/05/2016,"2 ק""מ",2K,2000,18000,6124,71
מרוץ חבל יבנה,26/05/2016,"5 ק""מ גברים",,5000,20701,6124,1
Be'er Sheva Light Run 2016,24/05/2016,"5 ק""מ",5K,5000,17989,6120,1111
Be'er Sheva Light Run 2016,24/05/2016,"2.5 ק""מ",5K,5000,17990,6120,392
Be'er Sheva Light Run 2016,24/05/2016,"10 ק""מ",10K,10000,17988,6120,1371
מרוץ ג למען מלאכיות הדממה,21/05/2016,2 קילומטר,,2000,17918,6106,132
מרוץ ג למען מלאכיות הדממה,21/05/2016,10 קילומטר,,10000,17915,6106,252
מרוץ ג למען מלאכיות הדממה,21/05/2016,5 קילומטר,,5000,17916,6106,199
מרוץ גזר 2016,20/05/2016,"2 ק""מ בתי ספר גזר",2K,2000,17913,6105,75
מרוץ גזר 2016,20/05/2016,"10 ק""מ",10K,10000,17911,6105,118
מרוץ גזר 2016,20/05/2016,"5 ק""מ",5K,5000,17912,6105,87
מרוץ גבעת שמואל ה-7,20/05/2016,"10 ק""מ ריצה תחרותית",10K,10000,17905,6103,386
מרוץ גבעת שמואל ה-7,20/05/2016,"5 ק""מ ריצה תחרותית",5K,5000,17906,6103,471
מרוץ מיתר,19/05/2016,"10 ק""מ",10K,10000,17907,6104,54
מרוץ שפיר ה-6,13/05/2016,"10 ק""מ ריצה תחרותית",10K,10000,17865,6092,178
מרוץ שפיר ה-6,13/05/2016,"5 ק""מ ריצה תחרותית",5K,5000,17866,6092,111
מרוץ שפיר ה-6,13/05/2016,"2 ק""מ ריצה תחרותית",2K,2000,17867,6092,127
"מרוץ הרצליה 2016 ע""ש יוסי אבני",07/05/2016,"10 ק""מ ריצה תחרותית",10K,10000,17803,6078,1614
"מרוץ הרצליה 2016 ע""ש יוסי אבני",07/05/2016,"5 ק""מ ריצה תחרותית",5K,5000,17804,6078,390
"מרוץ הרצליה 2016 ע""ש יוסי אבני",07/05/2016,"2 ק""מ ריצה תחרותית",2K,2000,17805,6078,554
מרוץ משמר הנגב ה-4,07/05/2016,"ריצה 10 ק""מ",10K,10000,17817,6080,50
מרוץ משמר הנגב ה-4,07/05/2016,"ריצה 5 ק""מ",5K,5000,17818,6080,28
מרוץ מהמדבר לים,06/05/2016,50K אולטרה  מרתון,,50000,17802,6077,228
מרוץ דליה 2016,30/04/2016,1200 מטר ריצה תחרותית,,1200,17773,6071,53
מרוץ דליה 2016,30/04/2016,1000 מטר ריצה תחרותית,,1000,17774,6071,36
מרוץ דליה 2016,30/04/2016,"10 ק""מ ריצה תחרותית",10K,10000,17797,6071,75
מרוץ דליה 2016,30/04/2016,"5 ק""מ ריצה תחרותית",5K,5000,17798,6071,115
מרוץ מרום הגליל ה-4,28/04/2016,"5 ק""מ ריצה תחרותית",5K,5000,17772,6070,80
מרוץ מרום הגליל ה-4,28/04/2016,"10 ק""מ ריצה תחרותית",10K,10000,17771,6070,155
מרוץ בנימינה וגבעת עדה 2016,25/04/2016,"15 ק""מ ריצה",15K,15000,17750,6066,90
מרוץ בנימינה וגבעת עדה 2016,25/04/2016,"10 ק""מ ריצה",10K,10000,17751,6066,216
מרוץ בנימינה וגבעת עדה 2016,25/04/2016,"4 ק""מ ריצה",,4000,17752,6066,162
מרוץ בנימינה וגבעת עדה 2016,25/04/2016,"1 ק""מ ריצה",,1000,17753,6066,126
מרוץ עיינות 2016,16/04/2016,"10 ק""מ",10K,10000,17721,6050,156
מרוץ עיינות 2016,16/04/2016,"4 ק""מ",,4000,17722,6050,206
מרוץ מזכרת בתיה 2016,15/04/2016,2k,2K,2000,17724,6051,43
מרוץ מזכרת בתיה 2016,15/04/2016,5k,5K,5000,17725,6051,98
מרוץ מזכרת בתיה 2016,15/04/2016,10k,10K,10000,17726,6051,209
מרוץ שהם,15/04/2016,5 קילומטר,5K,5000,17728,6052,163
מרוץ שהם,15/04/2016,10 קילומטר,10K,10000,17729,6052,162
מרוץ בשבילי עמק המעיינות‎,14/04/2016,"10 ק""מ",10K,10000,17708,6047,42
מרוץ שדמות דבורה 2016,14/04/2016,"10 ק""מ",10K,10000,17712,6048,98
מרוץ הנשים של תל-אביב 2016,13/04/2016,"נשים 12 ק""מ",,12000,17701,6045,1164
מרוץ הנשים של תל-אביב 2016,13/04/2016,"נשים 8 ק""מ",,8000,17702,6045,1748
מרוץ הנשים של תל-אביב 2016,13/04/2016,"נשים 4 ק""מ",,4000,17703,6045,1546
"מרוץ רשפון ע""ש ארז גבאי",09/04/2016,"5 ק""מ ריצה תחרותית",5K,5000,17568,6020,186
"מרוץ רשפון ע""ש ארז גבאי",09/04/2016,"2 ק""מ ריצה תחרותית",2K,2000,17569,6020,236
מרוץ צהלה ה-9,09/04/2016,2.5 קילומטר,,2500,17570,6021,325
מרוץ צהלה ה-9,09/04/2016,5 קילומטר,5K,5000,17571,6021,268
מרוץ צהלה ה-9,09/04/2016,10 קילומטר,10K,10000,17572,6021,210
"מרוץ רשפון ע""ש ארז גבאי",09/04/2016,"10 ק""מ ריצה תחרותית",10K,10000,17567,6020,171
מרוץ עדנים 2016,08/04/2016,"10 ק""מ ריצה",10K,10000,17562,6018,79
מרוץ המושבה ה-1,08/04/2016,"2 ק""מ - כיתות ט-י",2K,2000,17577,6022,14
מרוץ המושבה ה-1,08/04/2016,"2 ק""מ",2K,2000,17574,6022,14
מרוץ השומרון ה-5,08/04/2016,"10 ק""מ ריצה תחרותית",10K,10000,17555,6016,102
אליפות אפרת גוש עציון 2016,08/04/2016,חצי מרתון,H.Marathon,21097,17549,6015,66
מרוץ לוד ה-3,08/04/2016,5 קילומטר מג”ב,5K,5000,17559,6017,308
מרוץ השומרון ה-5,08/04/2016,"5 ק""מ ריצה תחרותית",5K,5000,17556,6016,142
מרוץ עדנים 2016,08/04/2016,"5 ק""מ ריצה",5K,5000,17563,6018,123
מרוץ לוד ה-3,08/04/2016,2 קילומטר,2K,2000,17557,6017,85
אליפות אפרת גוש עציון 2016,08/04/2016,"10 ק""מ",10K,10000,17551,6015,221
מרוץ עדנים 2016,08/04/2016,"25 ק""מ רכיבה",5K,5000,17564,6018,40
