MarathonResultInSecondsNormalized,ImprovementRate,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.891611906,0.080585155,42195,0.810827586,-49,21097,0.811225915,-63,N
0.609082248,0.046475263,10000,0.327943521,-70,42195,0.79727045,-49,N
0.714844599,0.307667619,15000,0.482585278,-104,10000,0.331768682,-11,N
0.723079004,0.114595016,42195,0.674418605,-14,15000,0.542549372,-104,N
0.673186988,0.098295278,15000,0.591202873,-104,10000,0.558580548,-11,N
0.899110939,0.26799101,42195,0.815241379,-49,10000,0.44699848,-51,N
0.936683417,0.16830486,42195,0.865724138,-49,21097,0.671032977,-35,N
0.526552199,0.177454548,21097,0.347926003,-84,15000,0.3502693,-20,N
0.218213432,0.075257331,21097,0.137079168,-84,15000,0.148833034,-20,N
1,0.283214088,15000,0.661416044,-21,10000,0.77215578,-35,N
0.902976421,0.184129574,42195,0.816068966,-49,21097,0.621624727,-35,N
0.802289357,0.255421163,21097,0.396070321,-84,15000,0.697666068,-20,N
0.684407748,0.195880689,15000,0.555590256,-14,21097,0.421463863,-91,N
0.852678571,0.330782375,42195,0.701151923,-14,21097,0.342640469,-84,N
0.605335027,-0.025433364,42195,0.57526092,-21,42195,0.686275862,-49,Y
0.307034483,0.046554953,42195,0.242290749,-49,10000,0.278668311,-14,N
0.500889061,0.136299946,42195,0.47937931,-49,21097,0.24979892,-35,N
0.550054113,0.069081603,42195,0.615445918,-14,15000,0.346499102,-104,N
0.094,0.049594136,21097,0.072159026,-35,21097,0.016652702,-14,N
0.183076143,0.076102362,21097,0.099046306,-84,15000,0.114901257,-20,N
0.166,0.081306625,10000,0.074210365,-7,15000,0.095176386,-48,N
0.165258812,0.063963674,10000,0.080472707,-21,15000,0.122117571,-21,N
0.466099729,0.264465886,42195,0.158206897,-49,10000,0.24506079,-51,N
0.237241379,0.102496715,15000,0.160259179,-55,10000,0.109230149,-29,N
0.256590646,0.050098831,21097,0.19131334,-84,10000,0.221670289,-31,N
0.468896552,0.289933232,15000,0.201583873,-55,10000,0.156342767,-50,N
0.262432518,0.03914408,42195,0.224584461,-21,21097,0.221992416,-84,N
0.300413793,0.112386204,21097,0.200965184,-35,15000,0.175089993,-20,N
0.289497958,0.111880952,21097,0.198031381,-21,10000,0.15720263,-49,N
0.305172414,0.085372825,10000,0.214044772,-7,21097,0.225554407,-28,N
0.559889313,0.097510178,21097,0.427248806,-21,10000,0.497509464,-49,N
0.931448276,0.303810578,21097,0.604159485,-35,15000,0.651115911,-20,N
0.192964824,0.09816665,21097,0.106514995,-84,15000,0.083081353,-20,N
0.604506267,0.098391493,21097,0.482247501,-84,15000,0.529982047,-20,N
0.450342955,0.169043261,21097,0.320579111,-37,10000,0.242020278,-31,N
0.480036896,0.086042606,15000,0.53534861,-7,10000,0.252639968,-63,N
0.262137931,-0.099918608,21097,0.42491095,-35,10000,0.299202128,-16,Y
0.291172414,0.094071963,21097,0.211191543,-35,15000,0.183009359,-20,N
0.448015243,0.152213173,21097,0.326583029,-21,15000,0.265021111,-21,N
0.487241379,0.232154481,21097,0.254854648,-35,21097,0.255319149,-56,N
