@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1320,14411,0.3914217947028594,0.2086954967612017,10000,2685,0.16501726121979288,-34.0,21097,5761,0.2004353346635226,-14.0
1321,13230,0.34413793103448276,0.08835285124681214,21097,6494,0.2963345972653108,-35.0,10000,3063,0.21523556231003038,-16.0
1328,11976,0.2576551724137931,0.023523298714131335,21097,5358,0.16580489486384006,-35.0,42195,12932,0.30245885253548344,-329.0
1329,12848,0.32152430631022244,0.15357085455545894,5000,1322,0.12369172216936251,-119.0,21097,5847,0.21221518134016448,-209.0
1330,13200,0.34702600883865825,0.04405210489508643,10000,2697,0.15696582801351858,-115.0,42195,16043,0.4489819798736251,-25.0
1334,13847,0.5602231703314736,0.1677116758781802,15000,4591,0.32621184919210056,-6.0,42195,16127,0.4588111397144863,-36.0
1336,04:11:40,15100,0.3822233739310702,01:23:29,10000,5009,0.5849164133738601,03:57:03,42195,14223,0.3884853734923702,-313.0
1339,14159,0.40820689655172415,0.19817180401646659,21097,6235,0.26657474434103184,-35.0,10000,2738,0.1534954407294833,-16.0
1340,12816,0.31920596971672827,-0.2001143906150848,42195,14970,0.7445027896291434,-98.0,42195,12505,0.29413793103448277,-315.0
1346,14804,0.4173145341942285,0.08861534942565086,21097,6382,0.26897963161485233,-21.0,42195,14222,0.3884187379223029,-49.0
1349,17912,0.6676807863327873,0.2020433852282838,21097,7146,0.2771761340416837,-203.0,10000,5333,0.6540986681673232,-21.0
1352,14259,0.38132740552556366,0.04174804088844669,10000,2814,0.21316328854475064,-70.0,10000,4383,0.4659954407294833,-51.0
1353,13790,0.389770339781207,0.045359856345634,42195,13606,0.33838450388720515,-707.0,42195,13652,0.3504364629839408,-70.0
1354,15736,0.47513496348046996,0.18528196839104666,21097,7976,0.3947446409167243,-21.0,15000,4574,0.18496134926212227,-154.0
1356,16035,0.5375862068965517,0.14402413633718347,42195,15094,0.4364211358545263,-294.0,42195,13656,0.35070300526421005,-70.0
1357,13412,0.35307305759567065,-0.020774798862904342,42195,13407,0.32527342205824217,-343.0,42195,14980,0.4224222908589078,-21.0
