ImprovementRate,MarathonResultInSeconds,MarathonResultInSecondsNormalized,RaceOneKM,RaceOneResultInSeconds,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSeconds,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.027062037,14425,0.431387708,42195,14222,0.412551724,-49,42195,14482,0.396099618,-294,N
0.252655986,16097,0.541862069,21097,6098,0.250833046,-35,10000,2820,0.32757912,-28,N
0.075790548,13088,0.338911831,21097,6224,0.265310812,-84,21097,6987,0.260931753,-259,N
0.048968507,15918,0.543939723,42195,16425,0.518894887,-343,42195,14938,0.471047545,-21,N
0.062532679,13295,0.34862069,21097,6140,0.245395186,-315,42195,13297,0.326780836,-49,N
0.048440338,13958,0.37012987,42195,13697,0.345633534,-357,42195,14122,0.29774553,-119,N
0.100129054,12823,0.316068966,21097,5913,0.229576008,-35,15000,4199,0.202303816,-20,N
0.064113247,15000,0.440611472,42195,14465,0.429310345,-427,15000,5042,0.323686105,-55,N
0.066944513,12548,0.299789901,21097,5832,0.220268873,-84,15000,4141,0.245421903,-20,N
0.173578348,13783,0.382275862,15000,4133,0.192800576,-55,21000,6205,0.224594453,-239,N
0.096724551,13772,0.357548701,10000,3619,0.319564116,-301,21097,6411,0.202084185,-56,N
0.11398946,13060,0.332413793,21097,5988,0.238193726,-35,15000,4725,0.198654941,-56,N
-0.006092855,12494,0.29337931,21097,5782,0.214523727,-35,42195,14162,0.384420604,-329,Y
0.19411223,17270,0.641889444,15000,4976,0.395332136,-104,42195,16131,0.500222293,-239,N
0.354747801,16146,0.545241379,21097,6172,0.259335861,-35,5000,1342,0.121651296,-42,N
0.449752637,18030,0.645562771,21097,6279,0.227106589,-378,10000,2796,0.164513678,-100,N
0.058040406,13582,0.366215694,21000,6787,0.285504971,-343,42195,13358,0.330845605,-70,N
0.072350889,12937,0.323931034,15000,4034,0.178545716,-55,42195,13397,0.324614574,-239,N
-0.035894455,12189,0.258523386,42195,14361,0.318389911,-98,21097,6230,0.27044577,-120,Y
-0.188790486,11480,0.203710862,42195,16793,0.548359468,-343,42195,12153,0.236643228,-21,Y
0.365223567,15162,0.776009189,42195,16272,0.475778142,-42,42195,13254,0.345793103,-273,N
0.106577038,14964,0.426103525,42195,14226,0.412827586,-70,21097,6827,0.226225388,-49,N
0.055667923,12309,0.267800541,42195,12066,0.263862069,-49,15000,3908,0.160403168,-55,N
-0.00198141,14116,0.371985769,42195,13896,0.351186173,-21,42195,14347,0.396748184,-49,Y
