@relation WekaTry2

@attribute ﻿MarathonResultInSecondsNormalized numeric
@attribute ImprovementRate numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {Y,N}

@data
0.125448,0.033859,21097,0.104562,-35,15000,0.078618,-20,N
0.235724,0.073664,10000,0.212386,-51,15000,0.111735,-4,N
0.859646,0.097387,42195,0.824531,-14,42195,0.699986,-47,N
0.590219,0.131378,42195,0.563896,-21,21097,0.353786,-84,N
0.690882,0.05777,21097,0.760577,-14,21097,0.505648,-91,N
0.669431,0.376072,15000,0.343701,-6,15000,0.243016,-36,N
0.469935,-0.020491,15000,0.39426,-21,42195,0.586593,-28,Y
0.682427,0.06001,42195,0.763964,-14,21097,0.480869,-84,N
0.583624,0.048813,15000,0.481495,-21,42195,0.588126,-28,N
0.465291,0.188505,42195,0.374797,-21,10000,0.178775,-49,N
0.623889,0.329165,21097,0.356544,-84,10000,0.232903,-16,N
0.379241,0.117744,21097,0.228542,-35,10000,0.294453,-16,N
0.611369,0.131519,42195,0.61121,-21,15000,0.34849,-21,N
0.712121,0.145471,42195,0.689053,-14,21097,0.444248,-98,N
0.740057,0.320298,21097,0.390325,-98,15000,0.449192,-20,N
0.672483,0.237622,15000,0.398603,-91,15000,0.471117,-14,N
0.761517,0.323797,21097,0.582317,-28,10000,0.293123,-23,N
0.522568,0.149086,21097,0.348041,-84,15000,0.398923,-20,N
0.760417,0.130193,10000,0.860472,-56,21097,0.399977,-28,N
0.761194,-0.0425,42195,0.804561,-21,42195,0.802828,-49,Y
0.839678,0.578896,10000,0.22903,-14,10000,0.292535,-24,N
0.500425,0.172274,15000,0.305619,-21,21097,0.350684,-63,N
0.705837,0.1738,42195,0.679034,-49,21097,0.38504,-35,N
0.891612,0.080585,42195,0.810828,-49,21097,0.811226,-63,N
0.609082,0.046475,10000,0.327944,-70,42195,0.79727,-49,N
0.714845,0.307668,15000,0.482585,-104,10000,0.331769,-11,N
0.723079,0.114595,42195,0.674419,-14,15000,0.542549,-104,N
0.673187,0.098295,15000,0.591203,-104,10000,0.558581,-11,N
0.899111,0.267991,42195,0.815241,-49,10000,0.446998,-51,N
0.936683,0.168305,42195,0.865724,-49,21097,0.671033,-35,N
0.526552,0.177455,21097,0.347926,-84,15000,0.350269,-20,N
0.218213,0.075257,21097,0.137079,-84,15000,0.148833,-20,N
1,0.283214,15000,0.661416,-21,10000,0.772156,-35,N
0.902976,0.18413,42195,0.816069,-49,21097,0.621625,-35,N
0.802289,0.255421,21097,0.39607,-84,15000,0.697666,-20,N
0.684408,0.195881,15000,0.55559,-14,21097,0.421464,-91,N
0.852679,0.330782,42195,0.701152,-14,21097,0.34264,-84,N
0.605335,-0.025433,42195,0.575261,-21,42195,0.686276,-49,Y
0.307034,0.046555,42195,0.242291,-49,10000,0.278668,-14,N
0.500889,0.1363,42195,0.479379,-49,21097,0.249799,-35,N
0.550054,0.069082,42195,0.615446,-14,15000,0.346499,-104,N
0.094,0.049594,21097,0.072159,-35,21097,0.016653,-14,N
0.183076,0.076102,21097,0.099046,-84,15000,0.114901,-20,N
0.166,0.081307,10000,0.07421,-7,15000,0.095176,-48,N
0.165259,0.063964,10000,0.080473,-21,15000,0.122118,-21,N
0.4661,0.264466,42195,0.158207,-49,10000,0.245061,-51,N
0.237241,0.102497,15000,0.160259,-55,10000,0.10923,-29,N
0.256591,0.050099,21097,0.191313,-84,10000,0.22167,-31,N
0.468897,0.289933,15000,0.201584,-55,10000,0.156343,-50,N
0.262433,0.039144,42195,0.224584,-21,21097,0.221992,-84,N
0.300414,0.112386,21097,0.200965,-35,15000,0.17509,-20,N
0.289498,0.111881,21097,0.198031,-21,10000,0.157203,-49,N
0.305172,0.085373,10000,0.214045,-7,21097,0.225554,-28,N
0.559889,0.09751,21097,0.427249,-21,10000,0.497509,-49,N
0.931448,0.303811,21097,0.604159,-35,15000,0.651116,-20,N
0.192965,0.098167,21097,0.106515,-84,15000,0.083081,-20,N
0.604506,0.098391,21097,0.482248,-84,15000,0.529982,-20,N
0.450343,0.169043,21097,0.320579,-37,10000,0.24202,-31,N
0.480037,0.086043,15000,0.535349,-7,10000,0.25264,-63,N
0.262138,-0.099919,21097,0.424911,-35,10000,0.299202,-16,Y
0.291172,0.094072,21097,0.211192,-35,15000,0.183009,-20,N
0.448015,0.152213,21097,0.326583,-21,15000,0.265021,-21,N
0.487241,0.232154,21097,0.254855,-35,21097,0.255319,-56,N
0.2924,-0.002292,21097,0.394232,-84,15000,0.195153,-20,Y
0.089862,0.040382,21097,0.06469,-35,15000,0.034269,-20,N
0.675996,0.185185,10000,0.504129,-7,10000,0.477491,-10,N
0.257643,-0.16788,42195,0.236181,-14,42195,0.614867,-98,Y
0.331778,0.05648,42195,0.312975,-14,21097,0.237619,-84,N
0.381073,0.039829,42195,0.326092,-21,42195,0.356396,-98,N
0.410437,0.040518,42195,0.466138,-49,21097,0.273699,-35,N
0.56082,0.289231,21097,0.322188,-84,10000,0.220991,-31,N
0.540935,0.183198,21097,0.335777,-98,15000,0.379698,-6,N
0.503054,0.172272,21097,0.359133,-98,10000,0.302432,-2,N
0.448743,0.18979,21097,0.296915,-91,10000,0.220991,-24,N
0.509432,0.06793,10000,0.402176,-21,42195,0.480828,-49,N
0.453862,0.026958,15000,0.614543,-55,15000,0.239265,-36,N
0.422,0.096244,21097,0.269103,-35,10000,0.382409,-16,N
0.477172,0.176754,21097,0.317592,-35,10000,0.283245,-16,N
0.401262,0.087729,5000,0.318343,-13,15000,0.308724,-8,N
0.454474,0.16511,21097,0.277556,-21,15000,0.301171,-21,N
0.481871,0.105222,15000,0.272816,-21,42195,0.480483,-28,N
0.300552,0.128888,21097,0.229576,-35,15000,0.113751,-20,N
0.265989,0.162608,10000,0.103039,-6,21097,0.103724,-15,N
0.190414,0.089674,10000,0.08341,-7,15000,0.118071,-48,N
0.398067,-0.067114,15000,0.578759,-21,21097,0.351603,-63,Y
0.383842,0.168574,15000,0.306106,-21,10000,0.12443,-79,N
0.518221,0.159518,21097,0.350799,-84,15000,0.366607,-20,N
0.357386,0.134903,15000,0.250449,-104,10000,0.194517,-11,N
0.336593,0.166079,21097,0.16006,-84,15000,0.180969,-20,N
0.100759,0.032401,21097,0.075376,-35,15000,0.061339,-20,N
0.151063,0.01458,10000,0.151885,-105,10000,0.12108,-10,N
0.427806,0.166512,15000,0.338959,-104,10000,0.183627,-11,N
0.372673,0.097551,21097,0.244858,-84,15000,0.305386,-20,N
0.447172,0.202698,21097,0.28967,-35,10000,0.199278,-16,N
0.450916,0.138243,21097,0.298058,-84,15000,0.327289,-20,N
0.419103,0.16158,21097,0.275882,-35,15000,0.239165,-20,N
0.534364,0.302893,10000,0.237842,-100,5000,0.2251,-14,N
0.671511,0.200896,21097,0.491555,-84,15000,0.449676,-20,N
0.568458,0.220909,15000,0.430659,-21,10000,0.264438,-79,N
0.52385,0.103257,21097,0.393428,-84,10000,0.447758,-16,N
0.68931,0.393881,21097,0.376192,-35,10000,0.214666,-16,N
0.618168,0.166579,42195,0.518483,-49,21097,0.384695,-35,N
0.589437,0.149125,21097,0.414914,-84,15000,0.465709,-20,N
0.680325,0.253966,21097,0.429967,-84,15000,0.42275,-20,N
0.627213,0.304349,21097,0.386418,-84,10000,0.259309,-16,N
0.610603,0.14028,21097,0.439389,-37,15000,0.501257,-20,N
0.61131,0.19643,15000,0.349028,-55,21097,0.480732,-8,N
0.683034,0.218404,21097,0.427554,-35,10000,0.501708,-31,N
0.548345,0.141717,21097,0.430656,-35,10000,0.382599,-16,N
0.577889,0.174434,21097,0.445019,-84,10000,0.361892,-16,N
0.636383,0.249276,21097,0.473613,-91,10000,0.300601,-24,N
0.778828,0.363742,21097,0.428588,-35,15000,0.401584,-20,N
0.128257,0.072959,42195,0.084759,-49,10000,0.025836,-51,N
0.243371,0.048146,15000,0.138519,-21,42195,0.251931,-28,N
0.501121,0.354355,5000,0.1161,-21,10000,0.177432,-79,N
0.552223,0.330204,21097,0.279903,-84,10000,0.164134,-16,N
0.375725,0.083442,15000,0.2772,-21,21097,0.307365,-63,N
0.730552,0.153376,21097,0.604389,-35,10000,0.549962,-16,N
0.121821,0.107317,10000,0.029008,-21,10000,0,-22,N
0.177757,0.082675,21097,0.160998,-21,10000,0.029166,-22,N
0.262234,0.016489,42195,0.282828,-49,21097,0.208664,-35,N
0.43363,0.16132,15000,0.216629,-21,10000,0.32799,-91,N
0.291767,0.135232,10000,0.118541,-100,15000,0.194528,-4,N
0.665559,0.218905,5000,0.318946,-56,21097,0.574361,-42,N
0.387742,0.061686,21097,0.312076,-84,15000,0.340036,-20,N
0.532828,0.165393,21097,0.36137,-35,21097,0.373499,-28,N
0.43671,0.033783,21097,0.301097,-21,42195,0.504759,-49,N
0.522007,0.2618,21097,0.230169,-21,21097,0.290245,-84,N
0.507074,0.1452,21097,0.374583,-84,10000,0.349164,-16,N
0.923049,0.309015,21097,0.60956,-37,5000,0.618508,-20,N
0.887128,0.468231,10000,0.346505,-100,15000,0.491289,-4,N
0.193197,-0.139931,21097,0.179363,-84,10000,0.486892,-16,Y
0.196966,0.053835,21097,0.156383,-35,15000,0.129878,-20,N
0.225096,-0.046399,21097,0.157532,-84,15000,0.385458,-20,Y
